nombre,marca,precio,categoria,subcategoria,descripcion,notas,imagen_url,ml,stock,estado,descuento,luxury,activo
"Polo Blue","Ralph Lauren","89000","para-ellos","contemporary","Fragancia fresca y marina","Notas acuáticas, melón, mandarina","https://example.com/polo-blue.jpg","125","15","disponible","","false","true"
"Black Opium","Yves Saint Laurent","165000","para-ellas","designer","Perfume oriental y seductor","Café negro, vainilla, flor de naranja","https://example.com/black-opium.jpg","90","8","disponible","15","true","true"
"Acqua Di Gio","Giorgio Armani","149000","para-ellos","designer","Fragancia fresca y acuática","Bergamota, neroli, cedro","https://example.com/acqua-di-gio.jpg","100","10","disponible","10","true","true"
"La Vie Est Belle","Lancôme","172000","para-ellas","designer","Fragancia floral y dulce","Iris, jazmín, flor de azahar","https://example.com/la-vie-est-belle.jpg","75","12","disponible","","true","true"
"1 Million","Paco Rabanne","135000","para-ellos","designer","Fragancia intensa y especiada","Canela, cuero, mandarina roja","https://example.com/1-million.jpg","100","20","disponible","5","false","true"
"Good Girl","Carolina Herrera","158000","para-ellas","designer","Fragancia audaz y elegante","Jazmín, haba tonka, cacao","https://example.com/good-girl.jpg","80","14","disponible","","true","true"
"Sauvage","Dior","180000","para-ellos","designer","Fragancia fresca y amaderada","Bergamota, pimienta, ambroxan","https://example.com/sauvage.jpg","100","9","disponible","","true","true"
"J'adore","Dior","175000","para-ellas","designer","Fragancia floral y sofisticada","Ylang-ylang, rosa de damasco, jazmín","https://example.com/jadore.jpg","100","11","disponible","10","true","true"
"Bleu de Chanel","Chanel","185000","para-ellos","designer","Fragancia sofisticada y masculina","Toronja, incienso, sándalo","https://example.com/bleu-de-chanel.jpg","100","7","disponible","10","true","true"
"Si","Giorgio Armani","160000","para-ellas","designer","Fragancia moderna y femenina","Grosella negra, rosa, vainilla","https://example.com/si-armani.jpg","100","13","disponible","","true","true"
"212 VIP Men","Carolina Herrera","140000","para-ellos","designer","Fragancia urbana y sofisticada","Vodka helado, menta, caviar de lima","https://example.com/212-vip-men.jpg","100","16","disponible","5","true","true"
"L'Interdit","Givenchy","168000","para-ellas","designer","Fragancia elegante y adictiva","Nardo, azahar, vetiver","https://example.com/linterdit.jpg","80","10","disponible","","true","true"
